node,scale,throughput,load,collision,lost
0,0.00095,30161.003,953625.26,92.682927,0
1,0.00095,38769.045,953625.26,78.571429,0
2,0.00095,60168.682,953625.26,100,0
3,0.00095,79837.949,953625.26,100,0
4,0.00095,39557.568,953625.26,100,0
5,0.00095,0,953625.26,85,0
6,0.00095,59818.227,953625.26,97.142857,0
7,0.00095,99069.147,953625.26,97.619048,0
8,0.00095,79173.545,953625.26,100,0
9,0.00095,-569.4888,953625.26,76.470588,0
0,0.00095,29472.017,953625.26,81.25,0
1,0.00095,154404.72,953625.26,95.652174,0
2,0.00095,77533.747,953625.26,100,0
3,0.00095,9695.7271,953625.26,95.121951,0
4,0.00095,67688.362,953625.26,97.297297,0
5,0.00095,0,953625.26,87.5,0
6,0.00095,48852.781,953625.26,92.105263,0
7,0.00095,175228.62,953625.26,97.674419,0
8,0.00095,77622.829,953625.26,98.333333,0
9,0.00095,116434.24,953625.26,43.75,0
0,0.00095,50466.453,953625.26,87.878788,0
1,0.00095,0,953625.26,88.888889,0
2,0.00095,71443.742,953625.26,100,0
3,0.00095,40297.003,953625.26,100,0
4,0.00095,0,953625.26,100,0
5,0.00095,0,953625.26,61.538462,0
6,0.00095,20518.096,953625.26,100,0
7,0.00095,212449.65,953625.26,94.594595,0
8,0.00095,121256.87,953625.26,100,0
9,0.00095,-89.598673,953625.26,54.545455,0
0,0.00095,24252.518,953625.26,97.619048,0
1,0.00095,-106.25419,953625.26,66.666667,0
2,0.00095,71482.505,953625.26,100,0
3,0.00095,119854.72,953625.26,100,0
4,0.00095,39730.212,953625.26,93.023256,0
5,0.00095,0,953625.26,76.190476,0
6,0.00095,89058.719,953625.26,96.153846,0
7,0.00095,280971.49,953625.26,97.674419,0
8,0.00095,21250.838,953625.26,100,0
9,0.00095,0,953625.26,32,0
0,0.00095,0,953625.26,97.674419,0
1,0.00095,-507.63328,953625.26,64.285714,0
2,0.00095,140841.04,953625.26,98.823529,0
3,0.00095,196635.38,953625.26,100,0
4,0.00095,131513.28,953625.26,97.619048,0
5,0.00095,0,953625.26,42.105263,0
6,0.00095,24447.981,953625.26,90.47619,0
7,0.00095,279017,953625.26,100,0
8,0.00095,72724.51,953625.26,98.507463,0
9,0.00095,-1015.2666,953625.26,43.478261,0
0,0.00095,37555.319,953625.26,95.121951,0
1,0.00095,112541.19,953625.26,66.666667,0
2,0.00095,150013.33,953625.26,100,0
3,0.00095,142693.58,953625.26,90.909091,0
4,0.00095,18569.712,953625.26,97.435897,0
5,0.00095,0,953625.26,68.181818,0
6,0.00095,28020.926,953625.26,97.87234,0
7,0.00095,149555.84,953625.26,92.857143,0
8,0.00095,125212.12,953625.26,100,0
9,0.00095,-2620.1386,953625.26,68.181818,0
0,0.00095,8934.291,953625.26,89.189189,0
1,0.00095,-35189.768,953625.26,32,0
2,0.00095,70350.211,953625.26,100,0
3,0.00095,337117.97,953625.26,100,0
4,0.00095,17575.334,953625.26,100,0
5,0.00095,0,953625.26,60,0
6,0.00095,35443.916,953625.26,100,0
7,0.00095,222203.83,953625.26,100,0
8,0.00095,119202.08,953625.26,98.214286,0
9,0.00095,0,953625.26,48,0
0,0.00095,0,953625.26,100,0
1,0.00095,37887.403,953625.26,75,0
2,0.00095,121440.61,953625.26,100,0
3,0.00095,140049.45,953625.26,95.652174,0
4,0.00095,17183.277,953625.26,97.560976,0
5,0.00095,-34710.984,953625.26,42.105263,0
6,0.00095,94574.994,953625.26,97.826087,0
7,0.00095,223803.57,953625.26,98.039216,0
8,0.00095,57405.156,953625.26,100,0
9,0.00095,0,953625.26,50,0
0,0.00095,36793.383,953625.26,87.234043,0
1,0.00095,28496.756,953625.26,88.888889,0
2,0.00095,117781.16,953625.26,100,0
3,0.00095,58963.859,953625.26,100,0
4,0.00095,66356.732,953625.26,95.744681,0
5,0.00095,0,953625.26,40,0
6,0.00095,103174.54,953625.26,97.959184,0
7,0.00095,132794.88,953625.26,98.181818,0
8,0.00095,99060.152,953625.26,95.3125,0
9,0.00095,0,953625.26,66.666667,0
0,0.00095,44153.978,953625.26,97.619048,0
1,0.00095,-510.90495,953625.26,65,0
2,0.00095,79769.949,953625.26,100,0
3,0.00095,115503.82,953625.26,98,0
4,0.00095,17783.422,953625.26,100,0
5,0.00095,0,953625.26,95,0
6,0.00095,44546.982,953625.26,100,0
7,0.00095,124818.01,953625.26,97.826087,0
8,0.00095,71107.49,953625.26,98.275862,0
9,0.00095,70819.287,953625.26,68.421053,0
0,0.00095,35900.452,953625.26,97.959184,0
1,0.00095,72190.702,953625.26,80.952381,0
2,0.00095,195045.48,953625.26,100,0
3,0.00095,80093.869,953625.26,100,0
4,0.00095,26632.99,953625.26,95.454545,0
5,0.00095,0,953625.26,37.5,0
6,0.00095,45158.168,953625.26,97.5,0
7,0.00095,210276.86,953625.26,100,0
8,0.00095,35250.787,953625.26,100,0
9,0.00095,35510.653,953625.26,44.444444,0
0,0.00095,96594.324,953625.26,92.857143,0
1,0.00095,212521.03,953625.26,61.111111,0
2,0.00095,157382.21,953625.26,100,0
3,0.00095,123429.84,953625.26,97.5,0
4,0.00095,34724.901,953625.26,97.959184,0
5,0.00095,0,953625.26,88.461538,0
6,0.00095,17729.399,953625.26,95.454545,0
7,0.00095,279460.13,953625.26,100,0
8,0.00095,58930.617,953625.26,98.529412,0
9,0.00095,0,953625.26,40.909091,0
0,0.00095,33318.316,953625.26,92.682927,0
1,0.00095,-32460.255,953625.26,69.565217,0
2,0.00095,41141.274,953625.26,100,0
3,0.00095,124564.86,953625.26,98.148148,0
4,0.00095,82903.273,953625.26,97.222222,0
5,0.00095,0,953625.26,72.222222,0
6,0.00095,16723.056,953625.26,91.111111,0
7,0.00095,231603.37,953625.26,97.959184,0
8,0.00095,44034.947,953625.26,100,0
9,0.00095,-1606.5818,953625.26,52.380952,0
0,0.00095,18906.352,953625.26,95,0
1,0.00095,0,953625.26,45.454545,0
2,0.00095,136509,953625.26,100,0
3,0.00095,232132.75,953625.26,95.121951,0
4,0.00095,29419.398,953625.26,100,0
5,0.00095,-39397.156,953625.26,50,0
6,0.00095,19291.759,953625.26,95,0
7,0.00095,311537.29,953625.26,97.222222,0
8,0.00095,63634.971,953625.26,98.412698,0
9,0.00095,-1113.3979,953625.26,30,0
0,0.00095,24357.085,953625.26,100,0
1,0.00095,-71.271646,953625.26,59.090909,0
2,0.00095,64705.746,953625.26,100,0
3,0.00095,151995.69,953625.26,95.652174,0
4,0.00095,56848.047,953625.26,95.454545,0
5,0.00095,-1175.9822,953625.26,78.947368,0
6,0.00095,104822.77,953625.26,94.444444,0
7,0.00095,145910.88,953625.26,96.363636,0
8,0.00095,54213.966,953625.26,100,0
9,0.00095,-285.08658,953625.26,57.894737,0
0,0.00095,8996.248,953625.26,89.189189,0
1,0.00095,0,953625.26,61.904762,0
2,0.00095,80905.922,953625.26,100,0
3,0.00095,163580.94,953625.26,100,0
4,0.00095,0,953625.26,93.939394,0
5,0.00095,-35743.752,953625.26,77.777778,0
6,0.00095,0,953625.26,97.87234,0
7,0.00095,190207.82,953625.26,92.307692,0
8,0.00095,68570.284,953625.26,98.387097,0
9,0.00095,36346.852,953625.26,64,0
0,0.00095,85323.805,953625.26,92.307692,0
1,0.00095,493.42058,953625.26,18.75,0
2,0.00095,51410.629,953625.26,100,0
3,0.00095,223823.17,953625.26,87.179487,0
4,0.00095,25895.091,953625.26,94.285714,0
5,0.00095,0,953625.26,64.285714,0
6,0.00095,85361.76,953625.26,97.727273,0
7,0.00095,221318.11,953625.26,97.87234,0
8,0.00095,133645.28,953625.26,96.226415,0
9,0.00095,0,953625.26,47.619048,0
0,0.00095,9804.8208,953625.26,91.428571,0
1,0.00095,-44.06661,953625.26,66.666667,0
2,0.00095,160248.23,953625.26,100,0
3,0.00095,129996.5,953625.26,97.560976,0
4,0.00095,0,953625.26,94.594595,0
5,0.00095,0,953625.26,41.176471,0
6,0.00095,59313.657,953625.26,100,0
7,0.00095,140330.12,953625.26,100,0
8,0.00095,66907.803,953625.26,100,0
9,0.00095,-1321.9983,953625.26,68.421053,0
0,0.00095,15620.777,953625.26,90,0
1,0.00095,-30653.396,953625.26,51.851852,0
2,0.00095,55131.137,953625.26,99.019608,0
3,0.00095,204246.42,953625.26,100,0
4,0.00095,47018.02,953625.26,100,0
5,0.00095,0,953625.26,85,0
6,0.00095,47156.41,953625.26,98,0
7,0.00095,219452.02,953625.26,95.744681,0
8,0.00095,72504.855,953625.26,100,0
9,0.00095,-30860.982,953625.26,45.833333,0
0,0.00095,74928.218,953625.26,98.039216,0
1,0.00095,-1202.057,953625.26,64.705882,0
2,0.00095,98586.885,953625.26,100,0
3,0.00095,97931.217,953625.26,98.039216,0
4,0.00095,8141.204,953625.26,100,0
5,0.00095,0,953625.26,54.166667,0
6,0.00095,0,953625.26,97.674419,0
7,0.00095,74527.532,953625.26,100,0
8,0.00095,40554.245,953625.26,98.461538,0
9,0.00095,0,953625.26,85.714286,0
0,0.00095,8152.1065,953625.26,97.5,0
1,0.00095,-32463.177,953625.26,28,0
2,0.00095,115781.7,953625.26,100,0
3,0.00095,328517.18,953625.26,100,0
4,0.00095,91098.429,953625.26,100,0
5,0.00095,0,953625.26,69.565217,0
6,0.00095,123352.81,953625.26,93.023256,0
7,0.00095,205427.64,953625.26,87.5,0
8,0.00095,22344.155,953625.26,98.529412,0
9,0.00095,-1416.1789,953625.26,36.842105,0
0,0.00095,91018.583,953625.26,97.674419,0
1,0.00095,36726.098,953625.26,80.952381,0
2,0.00095,127177.06,953625.26,100,0
3,0.00095,72894.533,953625.26,98,0
4,0.00095,27146.243,953625.26,95.121951,0
5,0.00095,0,953625.26,57.142857,0
6,0.00095,36128.602,953625.26,91.176471,0
7,0.00095,288451.23,953625.26,100,0
8,0.00095,36102.046,953625.26,100,0
9,0.00095,-1115.3262,953625.26,38.888889,0
0,0.00095,50352.697,953625.26,97.674419,0
1,0.00095,0,953625.26,47.368421,0
2,0.00095,222233.47,953625.26,100,0
3,0.00095,160139.93,953625.26,100,0
4,0.00095,51738.379,953625.26,100,0
5,0.00095,-34716.958,953625.26,30.434783,0
6,0.00095,67823.529,953625.26,95.238095,0
7,0.00095,186861.12,953625.26,88.372093,0
8,0.00095,45739.998,953625.26,98.461538,0
9,0.00095,-74.901743,953625.26,50,0
0,0.00095,74469.16,953625.26,91.428571,0
1,0.00095,323.72869,953625.26,53.333333,0
2,0.00095,258182.3,953625.26,98.630137,0
3,0.00095,135572.95,953625.26,96.969697,0
4,0.00095,83660.743,953625.26,100,0
5,0.00095,0,953625.26,33.333333,0
6,0.00095,31471.053,953625.26,97.297297,0
7,0.00095,124635.55,953625.26,100,0
8,0.00095,14043.659,953625.26,98.181818,0
9,0.00095,-647.45738,953625.26,72.222222,0
0,0.00095,8462.5894,953625.26,82.857143,0
1,0.00095,-32606.128,953625.26,44.444444,0
2,0.00095,99666.432,953625.26,100,0
3,0.00095,257345.06,953625.26,98.076923,0
4,0.00095,65907.561,953625.26,100,0
5,0.00095,0,953625.26,61.538462,0
6,0.00095,17034.964,953625.26,93.181818,0
7,0.00095,180888.99,953625.26,97.959184,0
8,0.00095,99465.159,953625.26,98.412698,0
9,0.00095,35204.372,953625.26,57.142857,0
0,0.00095,79051.07,953625.26,93.939394,0
1,0.00095,176586.14,953625.26,61.538462,0
2,0.00095,8951.3712,953625.26,100,0
3,0.00095,79235.135,953625.26,89.473684,0
4,0.00095,8592.9288,953625.26,97.619048,0
5,0.00095,0,953625.26,100,0
6,0.00095,60557.382,953625.26,94.285714,0
7,0.00095,140431.9,953625.26,100,0
8,0.00095,93117.511,953625.26,100,0
9,0.00095,-34604.218,953625.26,70,0
0,0.00095,9260.3454,953625.26,95.348837,0
1,0.00095,-1146.0317,953625.26,84.210526,0
2,0.00095,102273.1,953625.26,100,0
3,0.00095,74614.85,953625.26,97.777778,0
4,0.00095,75085.541,953625.26,97.5,0
5,0.00095,0,953625.26,59.090909,0
6,0.00095,64638.234,953625.26,93.548387,0
7,0.00095,63911.732,953625.26,97.727273,0
8,0.00095,24762.471,953625.26,100,0
9,0.00095,38269.273,953625.26,75,0
0,0.00095,0,953625.26,94.736842,0
1,0.00095,0,953625.26,32,0
