scale,throughput,load,collision,lost
0.00095,48598.568,953625.26,92.748685,0
0.00095,75693.305,953625.26,88.868444,0
0.00095,51634.222,953625.26,88.744619,0
0.00095,64649.475,953625.26,85.932771,0
0.00095,84365.629,953625.26,83.296989,0
0.00095,76154.188,953625.26,87.722673,0
0.00095,77563.787,953625.26,82.740347,0
0.00095,65763.347,953625.26,85.618372,0
0.00095,64342.147,953625.26,86.998778,0
0.00095,56799.203,953625.26,92.014205,0
0.00095,73605.996,953625.26,85.381055,0
0.00095,98077.246,953625.26,87.278202,0
0.00095,54022.226,953625.26,87.129198,0
0.00095,77092.097,953625.26,80.621142,0
0.00095,60132.185,953625.26,87.784781,0
0.00095,51286.431,953625.26,87.537825,0
0.00095,82727.126,953625.26,79.625368,0
0.00095,56523.506,953625.26,85.984833,0
0.00095,59961.526,953625.26,86.544947,0
0.00095,39346.724,953625.26,89.680122,0
0.00095,86079.467,953625.26,81.095999,0
0.00095,71452.907,953625.26,85.895697,0
0.00095,75009.727,953625.26,80.754935,0
0.00095,72171.168,953625.26,84.139641,0
0.00095,73136.9,953625.26,83.361353,0
0.00095,61191.922,953625.26,90.68563,0
0.00095,45166.951,953625.26,90.020371,0
0.00095,71041.711,953625.26,85.029075,0
0.00095,72561.996,953625.26,84.247748,0
0.00095,65514.381,953625.26,89.272203,0
0.00095,76819.193,953625.26,81.575993,0
0.00095,43272.671,953625.26,90.090115,0
0.00095,62887.074,953625.26,91.097928,0
0.00095,54671.712,953625.26,86.461329,0
0.00095,86323.456,953625.26,84.305639,0
0.00095,80965.48,953625.26,79.780877,0
0.00095,61151.808,953625.26,89.217272,0
0.00095,72142.768,953625.26,86.964215,0
0.00095,45729.269,953625.26,87.436163,0
0.00095,68072.846,953625.26,84.665275,0
0.00095,67331.094,953625.26,93.381225,0
0.00095,73196.762,953625.26,87.208841,0
0.00095,74814.772,953625.26,91.779592,0
0.00095,63743.192,953625.26,82.791172,0
0.00095,91910.629,953625.26,83.598581,0
0.00095,92550.731,953625.26,83.210773,0
0.00095,57776.667,953625.26,92.324168,0
0.00095,82154.125,953625.26,82.641819,0
0.00095,80187.685,953625.26,81.667948,0
0.00095,55486.754,953625.26,91.405975,0
0.00095,71284.618,953625.26,81.83614,0
0.00095,39563.5,953625.26,94.037433,0
0.00095,78060.396,953625.26,85.326365,0
0.00095,58459.255,953625.26,89.242538,0
0.00095,73935.599,953625.26,85.702318,0
0.00095,92291.413,953625.26,83.936571,0
0.00095,96275.427,953625.26,83.857159,0
0.00095,57447.975,953625.26,90.113565,0
0.00095,48251.502,953625.26,93.70172,0
0.00095,64286.702,953625.26,88.867208,0
0.00095,56715.523,953625.26,89.32083,0
0.00095,55375.305,953625.26,87.486264,0
0.00095,78104.609,953625.26,87.429753,0
0.00095,77596.624,953625.26,81.647552,0
0.00095,59508.754,953625.26,91.991457,0
0.00095,67022.421,953625.26,86.115229,0
0.00095,72600.641,953625.26,88.178135,0
0.00095,78593.18,953625.26,82.73573,0
0.00095,53017.654,953625.26,84.164249,0
0.00095,59488.609,953625.26,86.613808,0
0.00095,86494.292,953625.26,83.739555,0
0.00095,73888.794,953625.26,83.010657,0
0.00095,72580.036,953625.26,89.333338,0
0.00095,84515.395,953625.26,83.07009,0
0.00095,65949.876,953625.26,85.292258,0
0.00095,68246.731,953625.26,85.219527,0
0.00095,66767.031,953625.26,83.979463,0
0.00095,52353.571,953625.26,87.846888,0
0.00095,54117.438,953625.26,85.436762,0
0.00095,68649.565,953625.26,86.527975,0
0.00095,54391.166,953625.26,88.410118,0
0.00095,67270.339,953625.26,82.976279,0
0.00095,81131.628,953625.26,80.794266,0
0.00095,73046.622,953625.26,83.109417,0
0.00095,81570.474,953625.26,82.651126,0
0.00095,51322.663,953625.26,84.916943,0
0.00095,74751.397,953625.26,85.322621,0
0.00095,68296.404,953625.26,86.779373,0
0.00095,67940.142,953625.26,87.84102,0
0.00095,69113.867,953625.26,84.666267,0
0.00095,58834.045,953625.26,86.842903,0
0.00095,57598.471,953625.26,86.818956,0
0.00095,66587.394,953625.26,88.965967,0
0.00095,53745.515,953625.26,84.079657,0
0.00095,50199.999,953625.26,92.033501,0
0.00095,80929.946,953625.26,83.718736,0
0.00095,52010.86,953625.26,88.223154,0
0.00095,46995.73,953625.26,88.226101,0
0.00095,79321.986,953625.26,83.421799,0
0.00095,75250.357,953625.26,85.886538,0
0.001,80403.404,905944,85.674043,0
0.001,63659.753,905944,90.279476,0
0.001,44118.816,905944,86.522951,0
0.001,66470.507,905944,85.516679,0
0.001,78916.044,905944,84.092898,0
0.001,79889.601,905944,85.413165,0
0.001,75545.195,905944,78.659159,0
0.001,48218.545,905944,89.32042,0
0.001,68325.396,905944,84.125097,0
0.001,58498.314,905944,92.091357,0
0.001,45999.126,905944,88.045918,0
0.001,87934.274,905944,87.695001,0
0.001,60389.128,905944,87.18083,0
0.001,70041.255,905944,83.5365,0
0.001,66813.189,905944,85.237717,0
0.001,43895.288,905944,87.828778,0
0.001,78930.15,905944,78.027335,0
0.001,63382.75,905944,86.113642,0
0.001,73932.189,905944,81.290774,0
0.001,61845.755,905944,88.711336,0
