state,prob,load
t,0.009899406295249207,0.125
t,8.83875562074462e-05,0.125
t,7.021851536434423e-07,0.125
t,4.885980233224714e-09,0.125
t,2.917002311355818e-11,0.125
t,1.4521758836118052e-13,0.125
t,4.910588808412081e-16,0.125
t,0,0.125
t,0,0.125
t,0,0.125
t,6.980710331486411e-07,0.125
c,9.029416539739791e-09,0.125
c,8.15244451807251e-11,0.125
c,5.966418765296355e-13,0.125
c,3.625192594031157e-15,0.125
c,1.369347343849192e-16,0.125
c,9.519295074422729e-17,0.125
c,4.96564594998361e-17,0.125
c,0,0.125
c,0,0.125
c,3.521768361298451e-07,0.125
c,1.409506302039315e-09,0.125
c,4.929869446695934e-12,0.125
c,1.4784614504881333e-14,0.125
c,6.808789643208968e-17,0.125
c,9.259086553026208e-17,0.125
c,0,0.125
c,0,0.125
c,0,0.125
c,1.6348029293136723e-09,0.125
c,3.821479726629287e-12,0.125
c,7.616737102145166e-15,0.125
c,1.0652286344670081e-17,0.125
c,0,0.125
c,0,0.125
c,0,0.125
c,0,0.125
c,7.318870986691706e-12,0.125
c,1.0902086525210741e-14,0.125
c,1.2685165418080402e-17,0.125
c,0,0.125
c,2.0599841277224584e-17,0.125
c,0,0.125
c,1.734723475976807e-17,0.125
c,2.916894156768102e-14,0.125
c,1.7618285302889447e-17,0.125
c,9.540979117872439e-18,0.125
c,2.2442984970449942e-17,0.125
c,0,0.125
c,0,0.125
c,6.114900252818245e-17,0.125
c,0,0.125
c,0,0.125
c,0,0.125
c,0,0.125
c,0,0.125
c,0,0.125
c,0,0.125
c,0,0.125
c,0,0.125
c,0,0.125
c,0,0.125
c,7.806255641895632e-18,0.125
c,0,0.125
t,0.08960915591698985,1.25
t,0.007467429659749235,1.25
t,0.000558312497925241,1.25
t,3.6869693259306e-05,1.25
t,2.1068396149452606e-06,1.25
t,1.0129036619871412e-07,1.25
t,3.933606450984284e-09,1.25
t,1.1569423544188773e-10,1.25
t,2.2910354169347613e-12,1.25
t,2.2967738821932926e-14,1.25
t,0.000531546835453367,1.25
c,6.584753732625723e-05,1.25
c,5.67909160403314e-06,1.25
c,3.976501078792761e-07,1.25
c,2.3286267223070894e-08,1.25
c,1.1307788828560095e-09,1.25
c,4.408249980325518e-11,1.25
c,1.298152991352497e-12,1.25
c,2.5543586343323987e-14,1.25
c,2.411265631607762e-16,1.25
c,0.0002896930253220957,1.25
c,1.1638062560815482e-05,1.25
c,4.0441251519113264e-07,1.25
c,1.1986351085291336e-08,1.25
c,2.957871135522705e-10,1.25
c,5.848412032438688e-12,1.25
c,8.698944342633297e-14,1.25
c,7.979727989493313e-16,1.25
c,0,1.25
c,1.2856634380202571e-05,1.25
c,3.051158249882499e-07,1.25
c,6.141800674378667e-09,1.25
c,1.0242294685991471e-10,1.25
c,1.3627167970431397e-12,1.25
c,1.3579415369946446e-14,1.25
c,3.9898639947466563e-17,1.25
c,0,1.25
c,5.50631044943066e-07,1.25
c,8.422504409189013e-09,1.25
c,1.0638556095093898e-10,1.25
c,1.0688793600222013e-12,1.25
c,8.009218288584918e-15,1.25
c,1.0061396160665481e-16,1.25
c,0,1.25
c,2.108723214057015e-08,1.25
c,2.1465611840104648e-10,1.25
c,1.734574289757873e-12,1.25
c,1.0481199241851868e-14,1.25
c,0,1.25
c,0,1.25
c,6.782294552365453e-10,1.25
c,4.584073572122538e-12,1.25
c,2.3087326321558077e-14,1.25
c,3.642919299551295e-17,1.25
c,1.474514954580286e-17,1.25
c,1.6973795632924116e-11,1.25
c,7.328599532785418e-14,1.25
c,1.249000902703301e-16,1.25
c,0,1.25
c,2.9171283444373586e-13,1.25
c,6.83481049534862e-16,1.25
c,0,1.25
c,2.5847379792054426e-15,1.25
c,0,1.25
t,0.1582256170397995,2.5
t,0.024552250919968894,2.5
t,0.0034459299536799062,2.5
t,0.00043074124421001864,2.5
t,4.698995391377164e-05,2.5
t,4.35092165885359e-06,2.5
t,3.2837144585406985e-07,2.5
t,1.894450656070301e-08,2.5
t,7.429218629173562e-10,2.5
t,1.4858392294314626e-11,2.5
t,0.003175574284029266,2.5
c,0.0007527858631671512,2.5
c,0.0001238956627421621,2.5
c,1.6574283473683865e-05,2.5
c,1.8620480114596525e-06,2.5
c,1.7456027216018397e-07,2.5
c,1.3238942161725858e-08,2.5
c,7.650900646534453e-10,2.5
c,3.001678940128816e-11,2.5
c,6.003876188527199e-13,2.5
c,0.0018735888275773116,2.5
c,0.00015081411507434587,2.5
c,1.0397658709601285e-05,2.5
c,6.089023532329652e-07,2.5
c,2.9669397726833635e-08,2.5
c,1.1601463054122796e-09,2.5
c,3.4228366668775934e-11,2.5
c,6.785336181813761e-13,2.5
c,6.755013215453687e-15,2.5
c,0.00015904208371501222,2.5
c,7.655997948829985e-06,2.5
c,3.0968678463305643e-07,2.5
c,1.0325298852031928e-08,2.5
c,2.7403731367448003e-10,2.5
c,5.4499321722190075e-12,2.5
c,7.243337873941158e-14,2.5
c,5.0133508455729725e-16,2.5
c,1.301915379531629e-05,2.5
c,4.052054700144636e-07,2.5
c,1.0327319607122964e-08,2.5
c,2.0831048691549725e-10,2.5
c,3.1326287050492674e-12,2.5
c,3.1410637979512046e-14,2.5
c,1.700029006457271e-16,2.5
c,9.573823424348371e-07,2.5
c,1.9808794432659912e-08,2.5
c,3.2298346809567224e-10,2.5
c,3.911058976679982e-12,2.5
c,3.137594350999251e-14,2.5
c,9.71445146547012e-17,2.5
c,5.952800253769541e-08,2.5
c,8.1507349307397e-10,2.5
c,8.26546383420057e-12,2.5
c,5.541747616355508e-14,2.5
c,1.960237527853792e-16,2.5
c,2.9028381989815166e-09,2.5
c,2.5300730260857662e-11,2.5
c,1.4550340099450665e-13,2.5
c,4.198030811863873e-16,2.5
c,9.805510830379616e-11,2.5
c,4.933380093330442e-13,2.5
c,1.214306433183765e-15,2.5
c,1.7137975066860989e-12,2.5
c,3.793840241961277e-15,2.5
t,0.20742359794225107,3.75
t,0.04516481568097399,3.75
t,0.008958310548292575,3.75
t,0.0015942756060519925,3.75
t,0.00024953879051239913,3.75
t,3.342037372944945e-05,3.75
t,3.6793071997304194e-06,3.75
t,3.1239400764132563e-07,3.75
t,1.8197709276968066e-08,3.75
t,5.459313626166029e-10,3.75
t,0.008080803758918335,3.75
c,0.0027587520045155925,3.75
c,0.0006521848655817904,3.75
c,0.00012541047529732695,3.75
c,2.032145057777237e-05,3.75
c,2.762840417190604e-06,3.75
c,3.0602499896106514e-07,3.75
c,2.603984930742327e-08,3.75
c,1.5177578748925419e-09,3.75
c,4.5532737953310476e-11,3.75
c,0.00513131038691313,3.75
c,0.0006195177353456936,3.75
c,6.352160313513166e-05,3.75
c,5.512769539320339e-06,3.75
c,3.9789130547307483e-07,3.75
c,2.3081840321015346e-08,3.75
c,1.0131994340745187e-09,3.75
c,2.9995235462099146e-11,3.75
c,4.4989012515372906e-13,3.75
c,0.0006278799509369729,3.75
c,4.587323408502403e-05,3.75
c,2.792790137332024e-06,3.75
c,1.395219817925536e-07,3.75
c,5.538045560332661e-09,3.75
c,1.646965177085069e-10,3.75
c,3.2750442982565353e-12,3.75
c,3.273423199168235e-14,3.75
c,7.395214028945579e-05,3.75
c,3.505523673341237e-06,3.75
c,1.350266992036775e-07,3.75
c,4.097515601125812e-09,3.75
c,9.248076089651835e-11,3.75
c,1.3868949391704355e-12,3.75
c,1.0432626984524518e-14,3.75
c,7.851941064004192e-06,3.75
c,2.473075984797679e-07,3.75
c,6.096290038754004e-09,3.75
c,1.1112709537297594e-10,3.75
c,1.3390885622577287e-12,3.75
c,7.988401606873197e-15,3.75
c,7.090470554678083e-07,3.75
c,1.4737290773142453e-08,3.75
c,2.2553401507474646e-10,3.75
c,2.272821687798743e-12,3.75
c,1.13988679606436e-14,3.75
c,5.057654017120994e-08,3.75
c,6.663506092394189e-10,3.75
c,5.768576588627283e-12,3.75
c,2.4685115063149965e-14,3.75
c,2.519226605102176e-09,3.75
c,1.906833198284108e-11,3.75
c,7.155994546925726e-14,3.75
c,6.549988416232333e-11,3.75
c,2.1836005226205657e-13,3.75
t,0.2399923875520026,5.0
t,0.06545246933236425,5.0
t,0.016363117333090885,5.0
t,0.003694897462310831,5.0
t,0.0007389794924622384,5.0
t,0.00012741025732119354,5.0
t,1.820146533174083e-05,5.0
t,2.02238503688168e-06,5.0
t,1.555680799111836e-07,5.0
t,6.222723197835123e-09,5.0
t,0.014561901210991782,5.0
c,0.006382888975364705,5.0
c,0.0019326859694491494,5.0
c,0.00047618346768239263,5.0
c,9.914322486781826e-05,5.0
c,1.7402880023598827e-05,5.0
c,2.504720409763489e-06,5.0
c,2.790601412389418e-07,5.0
c,2.1481905143616586e-08,5.0
c,8.59276064798381e-10,5.0
c,0.009902092823474429,5.0
c,0.001591564505762293,5.0
c,0.00021565678438911946,5.0
c,2.4657714240318776e-05,5.0
c,2.3439187987923937e-06,5.0
c,1.7934792688120704e-07,5.0
c,1.041302761378704e-08,5.0
c,4.0925169503269743e-10,5.0
c,8.185022104534312e-12,5.0
c,0.0015590173493069126,5.0
c,0.0001533657898753621,5.0
c,1.2477711806076208e-05,5.0
c,8.297810251273186e-07,5.0
c,4.377391916304818e-08,5.0
c,1.73019907775962e-09,5.0
c,4.578202920935137e-11,5.0
c,6.104639363457842e-13,5.0
c,0.00023562399393343286,5.0
c,1.5095075347575093e-05,5.0
c,7.802220524022116e-07,5.0
c,3.164141953657107e-08,5.0
c,9.52415923037575e-10,5.0
c,1.9035734794004e-11,5.0
c,1.9036508480674286e-13,5.0
c,3.218460338951998e-05,5.0
c,1.3699115831468378e-06,5.0
c,4.534173368535288e-08,5.0
c,1.1054239815178057e-09,5.0
c,1.7777347736253057e-11,5.0
c,1.4222824307186244e-13,5.0
c,3.7578000468326683e-06,5.0
c,1.0530384844838203e-07,5.0
c,2.1606371839247296e-09,5.0
c,2.9091050748886182e-11,5.0
c,1.9396290129591875e-13,5.0
c,3.48837506668892e-07,5.0
c,6.1730779541899206e-09,5.0
c,7.145893512333634e-11,5.0
c,4.0832788539280074e-13,5.0
c,2.2784733667499668e-08,5.0
c,2.3061140237007338e-10,5.0
c,1.1530342652887882e-12,5.0
c,7.834070718526487e-10,5.0
c,3.4818189997842808e-12,5.0
t,0.25901300360429885,6.25
t,0.08325417972995332,6.25
t,0.024667905105171417,6.25
t,0.006641359066776875,6.25
t,0.0015939261760263002,6.25
t,0.00033206795333898254,6.25
t,5.77509484068206e-05,6.25
t,7.875129328357988e-06,6.25
t,7.500123170717243e-07,6.25
t,3.750061586260678e-08,6.25
t,0.021780526499796157,6.25
c,0.011521145392185149,6.25
c,0.004200449894975589,6.25
c,0.0012462951875150674,6.25
c,0.00031320159132747216,6.25
c,6.663943940997744e-05,6.25
c,1.1693840362730912e-05,6.25
c,1.5999523016139994e-06,6.25
c,1.5251620656686615e-07,6.25
c,7.625810396947555e-09,6.25
c,0.01579088171235231,6.25
c,0.003164183312075407,6.25
c,0.0005310746006714948,6.25
c,7.501314026403527e-05,6.25
c,8.806716452453012e-06,6.25
c,8.334647301141973e-07,6.25
c,6.00142675694082e-08,6.25
c,2.935738666054455e-09,6.25
c,7.339338858880495e-11,6.25
c,0.0030099203698327782,6.25
c,0.00037315936614545214,6.25
c,3.8002474106025794e-05,6.25
c,3.1523951308613796e-06,6.25
c,2.0716370976309184e-07,6.25
c,1.0201959652067494e-08,6.25
c,3.3675079218198345e-10,6.25
c,5.612510456387554e-12,6.25
c,0.0005488947461619407,6.25
c,4.448844470957697e-05,6.25
c,2.890057750233599e-06,6.25
c,1.467614730455563e-07,6.25
c,5.521664908289536e-09,6.25
c,1.378796590789655e-10,6.25
c,1.7234633858942416e-12,6.25
c,9.06239282285142e-05,6.25
c,4.8814932334714095e-06,6.25
c,2.0322627462127096e-07,6.25
c,6.209712683294399e-09,6.25
c,1.2492106654660162e-10,6.25
c,1.2492038653499904e-12,6.25
c,1.2844705075098703e-05,6.25
c,4.546304595304945e-07,6.25
c,1.1719444675123425e-08,6.25
c,1.9759882272096796e-10,6.25
c,1.6466134011849931e-12,6.25
c,1.4560546708793087e-06,6.25
c,3.243375876899046e-08,6.25
c,4.705775977220661e-10,6.25
c,3.3612487793099888e-12,6.25
c,1.1696365830645566e-07,6.25
c,1.4839357485862958e-09,6.25
c,9.27453079613283e-12,6.25
c,4.986345447655083e-09,6.25
c,2.770195184353952e-11,6.25
t,0.26741435829721594,7.5
t,0.0975701037030385,7.5
t,0.0329814435052526,7.5
t,0.010185445788386469,7.5
t,0.0028205849875530403,7.5
t,0.0006823995937625948,7.5
t,0.00013879313771444912,7.5
t,2.2306039990149795e-05,7.5
t,2.5252120745000717e-06,7.5
t,1.5151272446389807e-07,7.5
t,0.029013652415856406,7.5
c,0.01781999736160246,7.5
c,0.007528281401718417,7.5
c,0.002588128618646702,7.5
c,0.000755054132266935,7.5
c,0.00018719249487096287,7.5
c,3.8480131076573665e-05,7.5
c,6.209376546091258e-06,7.5
c,7.037429523698829e-07,7.5
c,4.222457710909011e-08,7.5
c,0.022340512360209525,7.5
c,0.0053531118953045,7.5
c,0.001068280428435373,7.5
c,0.0001789883663188144,7.5
c,2.492203461704201e-05,7.5
c,2.8012269799107536e-06,7.5
c,2.4017795059033675e-07,7.5
c,1.4039068907401031e-08,7.5
c,4.2117194801183366e-10,7.5
c,0.004964915248782887,7.5
c,0.0007436949512453425,7.5
c,9.094493835981599e-05,7.5
c,9.030762765543585e-06,7.5
c,7.096158821627563e-07,7.5
c,4.1795502657773764e-08,7.5
c,1.6521329261262596e-09,7.5
c,3.3042623324985865e-11,7.5
c,0.0010516089359510587,7.5
c,0.00010338765792384987,7.5
c,8.097028534766876e-06,7.5
c,4.940474630579783e-07,7.5
c,2.2298860372776952e-08,7.5
c,6.67777421900495e-10,7.5
c,1.001660993732445e-11,7.5
c,0.0002018751681852676,7.5
c,1.3197542426046302e-05,7.5
c,6.630207220956197e-07,7.5
c,2.436630948052243e-08,7.5
c,5.885523058496434e-10,7.5
c,7.062505961996646e-12,7.5
c,3.339105045809844e-05,7.5
c,1.4320953094851263e-06,7.5
c,4.4506193075562195e-08,7.5
c,9.019623815192945e-10,7.5
c,9.019517771546859e-12,7.5
c,4.440983723860703e-06,7.5
c,1.1949955741347856e-07,7.5
c,2.0858207990664956e-09,7.5
c,1.7878466068710352e-11,7.5
c,4.2135582510594016e-07,7.5
c,6.4324723342973344e-09,7.5
c,4.824341794107401e-11,7.5
c,2.138380807495399e-08,7.5
c,1.4255867666901345e-10,7.5
t,0.26777749411600305,8.75
t,0.10814091108530902,8.75
t,0.0406435638978343,8.75
t,0.014024891767562483,8.75
t,0.004363299661019462,8.75
t,0.0011930897510597782,8.75
t,0.0002760868845425174,8.75
t,5.085811031040055e-05,8.75
t,6.654332190075829e-06,8.75
t,4.658032531842937e-07,8.75
t,0.03573371004555352,8.75
c,0.024825200162219143,8.75
c,0.01184074682407411,8.75
c,0.004595011100748475,8.75
c,0.0015155604497450459,8.75
c,0.0004261858210736526,8.75
c,9.985804152302068e-05,8.75
c,1.8484031557608124e-05,8.75
c,2.4217950205258215e-06,8.75
c,1.6952565137610953e-07,8.75
c,0.029122973687126137,8.75
c,0.008107537462181444,8.75
c,0.0018703003385138676,8.75
c,0.00036147490963336915,8.75
c,5.8050972420738145e-05,8.75
c,7.535846781731026e-06,8.75
c,7.481001710746282e-07,8.75
c,5.080362790871318e-08,8.75
c,1.778126895723986e-09,8.75
c,0.007356833972378171,8.75
c,0.0012929676720137735,8.75
c,0.00018447782091156675,8.75
c,2.1313298487523127e-05,8.75
c,1.9466662491869624e-06,8.75
c,1.3331636996259666e-07,8.75
c,6.135513940658255e-09,8.75
c,1.4316193890084872e-10,8.75
c,0.0017638619238221753,8.75
c,0.00020427519795536246,8.75
c,1.8738569451944714e-05,8.75
c,1.3350954299901768e-06,8.75
c,7.026877081248162e-08,8.75
c,2.4533722874434116e-09,8.75
c,4.293407773400815e-11,8.75
c,0.0003834819185059993,8.75
c,2.955502062019187e-05,8.75
c,1.7409515940727122e-06,8.75
c,7.479046273961565e-08,8.75
c,2.1085340903836958e-09,8.75
c,2.951942162932042e-11,8.75
c,7.205878197884437e-05,8.75
c,3.6386395662231508e-06,8.75
c,1.3249200512925607e-07,8.75
c,3.13719050563932e-09,8.75
c,3.660054377629951e-11,8.75
c,1.0940603537321764e-05,8.75
c,3.456418216293833e-07,8.75
c,7.055228842117733e-09,8.75
c,7.055229664376661e-11,8.75
c,1.1924512044736435e-06,8.75
c,2.1294483076167436e-08,8.75
c,1.8632671100471399e-10,8.75
c,7.004728830653506e-08,8.75
c,5.448122820939094e-10,8.75
t,0.26227118639127567,10.0
t,0.11514344768397468,10.0
t,0.04723833751137431,10.0
t,0.017873965544844383,10.0
t,0.006128216758232316,10.0
t,0.001857035381282568,10.0
t,0.0004792349371052079,10.0
t,9.915205595263654e-05,10.0
t,1.4689193474526352e-05,10.0
t,1.17513547799597e-06,10.0
t,0.04160665622659908,10.0
c,0.03208515029114422,10.0
c,0.016958200508289306,10.0
c,0.007290454410997963,10.0
c,0.002667247865885812,10.0
c,0.0008343796071224943,10.0
c,0.00021845521738527232,10.0
